Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
2020-01-22,China,548,17,28,503,0,0,0,Western Pacific
2020-01-23,China,643,18,30,595,95,1,2,Western Pacific
2020-01-24,China,920,26,36,858,277,8,6,Western Pacific
2020-01-25,China,1406,42,39,1325,486,16,3,Western Pacific
2020-01-26,China,2075,56,49,1970,669,14,10,Western Pacific
2020-01-27,China,2877,82,58,2737,802,26,9,Western Pacific
2020-01-28,China,5509,131,101,5277,2632,49,43,Western Pacific
2020-01-29,China,6087,133,119,5835,578,2,18,Western Pacific
2020-01-30,China,8141,171,133,7837,2054,38,14,Western Pacific
2020-01-31,China,9802,213,211,9378,1661,42,78,Western Pacific
2020-02-01,China,11891,259,272,11360,2089,46,61,Western Pacific
2020-02-02,China,16630,361,450,15819,4739,102,178,Western Pacific
2020-02-03,China,19716,425,595,18696,3086,64,145,Western Pacific
2020-02-04,China,23707,491,812,22404,3991,66,217,Western Pacific
2020-02-05,China,27440,563,1062,25815,3733,72,250,Western Pacific
2020-02-06,China,30587,633,1408,28546,3147,70,346,Western Pacific
2020-02-07,China,34110,718,1891,31501,3523,85,483,Western Pacific
2020-02-08,China,36814,805,2450,33559,2704,87,559,Western Pacific
2020-02-09,China,39829,905,3032,35892,3015,100,582,Western Pacific
2020-02-10,China,42354,1012,3686,37656,2525,107,654,Western Pacific
2020-02-11,China,44386,1112,4370,38904,2032,100,684,Western Pacific
2020-02-12,China,46267,1117,4782,40368,1881,5,412,Western Pacific
2020-02-13,China,59895,1369,5853,52673,13628,252,1071,Western Pacific
2020-02-14,China,66358,1521,7533,57304,6463,152,1680,Western Pacific
2020-02-15,China,68413,1663,8806,57944,2055,142,1273,Western Pacific
2020-02-16,China,70513,1766,10210,58537,2100,103,1404,Western Pacific
2020-02-17,China,72434,1864,11831,58739,1921,98,1621,Western Pacific
2020-02-18,China,74211,2003,13548,58660,1777,139,1717,Western Pacific
2020-02-19,China,74619,2116,15237,57266,408,113,1689,Western Pacific
2020-02-20,China,75077,2238,17208,55631,458,122,1971,Western Pacific
2020-02-21,China,75550,2238,17784,55528,473,0,576,Western Pacific
2020-02-22,China,77001,2443,21666,52892,1451,205,3882,Western Pacific
2020-02-23,China,77022,2445,22100,52477,21,2,434,Western Pacific
2020-02-24,China,77241,2595,23838,50808,219,150,1738,Western Pacific
2020-02-25,China,77754,2665,26426,48663,513,70,2588,Western Pacific
2020-02-26,China,78166,2717,28790,46659,412,52,2364,Western Pacific
2020-02-27,China,78600,2746,31588,44266,434,29,2798,Western Pacific
2020-02-28,China,78928,2790,34940,41198,328,44,3352,Western Pacific
2020-02-29,China,79356,2837,37868,38651,428,47,2928,Western Pacific
